OTU_id	S1	S2	S3	S4	S5	S6	S7	lca_superkingdom	lca_phylum	lca_class	lca_order	lca_family	lca_genus	diamond_best_hit	diamond_pident	diamond_e-value
Otu1	0	1	0	8196	4300	10233	2348	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Anaeromusa	gi|517533533|ref|WP_018703741.1|_hypothetical_protein_[Anaeromusa_acidaminophila]	100	3.90E-18
Otu10	0	0	0	94	650	2631	224	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	gi|759955907|ref|WP_043640295.1|_arsenite_S-adenosylmethyltransferase_[Desulfovibrio_sp._TomC]	87.2	4.70E-16
Otu100	726	116	64	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	gi|502883608|ref|WP_013118584.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_flavigena]	75	1.40E-12
Otu1000	11	5	7	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	75	5.50E-12
Otu1001	6	5	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|516744948|ref|WP_018078770.1|_arsenite_S-adenosylmethyltransferase_[Thiobacillus_denitrificans]	66.7	1.00E-10
Otu1002	54	35	29	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	79.5	1.10E-12
Otu1003	5	3	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|739867588|ref|WP_037718316.1|_arsenite_S-adenosylmethyltransferase_[Streptomyces_mirabilis]	85	1.00E-13
Otu1004	10	20	27	0	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	NA	gi|501445522|ref|WP_012468971.1|_type_11_methyltransferase_[Geobacter_lovleyi]	60.4	9.30E-14
Otu1005	15	10	11	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|652931506|ref|WP_027185239.1|_arsenite_S-adenosylmethyltransferase_[Desulfovibrio_inopinatus]	66.7	2.50E-09
Otu1006	4	6	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|501125102|ref|WP_012174190.1|_arsenite_S-adenosylmethyltransferase_[Desulfococcus_oleovorans]	75	7.70E-14
Otu1007	160	10	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|502643688|ref|WP_012880086.1|_arsenite_S-adenosylmethyltransferase_[Xylanimonas_cellulosilytica]	70	4.60E-11
Otu1008	64	52	35	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|504374430|ref|WP_014561532.1|_arsenite_S-adenosylmethyltransferase_[Ignavibacterium_album]	52.6	1.10E-07
Otu1009	2	13	7	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|501109326|ref|WP_012158952.1|_arsenite_S-adenosylmethyltransferase_[Alkaliphilus_oremlandii]	75	7.70E-14
Otu101	168	102	69	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|499823079|ref|WP_011503813.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	82.5	1.50E-14
Otu1010	85	71	80	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522208193|ref|WP_020715660.1|_hypothetical_protein_[Acidobacteriaceae__KBS_89]	87.5	1.40E-15
Otu1011	10	6	8	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|655245652|ref|WP_028656879.1|_arsenite_S-adenosylmethyltransferase_[Nocardioides_sp._J54]	60	5.30E-07
Otu1012	8	13	3	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851271986|ref|WP_048142438.1|_MULTISPECIES:_arsenite_S-adenosylmethyltransferase_[Methanosarcina]	75	7.80E-14
Otu1013	26	34	20	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|492833602|ref|WP_005987556.1|_methylase_involved_in_ubiquinone/menaquinone_biosynthesis_[Desulfovibrio_africanus]	72.5	1.60E-11
Otu1014	6	7	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|635640639|ref|WP_024287532.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_sp._KRMCY2]	84.6	3.40E-14
Otu1015	4	3	6	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522208193|ref|WP_020715660.1|_hypothetical_protein_[Acidobacteriaceae__KBS_89]	90	4.80E-16
Otu1016	19	8	14	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|829074989|ref|WP_047308040.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	90	2.80E-16
Otu1017	0	1	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	80	2.00E-14
Otu1018	19	3	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|496496622|ref|WP_009205158.1|_arsenite_S-adenosylmethyltransferase_[Sulfuricella_denitrificans]	77.5	1.30E-13
Otu1019	10	2	0	0	0	0	0	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|501722131|ref|WP_012625546.1|_type_11_methyltransferase_[Desulfovibrio_desulfuricans]	79.5	1.80E-16
Otu102	392	95	84	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|829074989|ref|WP_047308040.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	85	1.00E-13
Otu1020	9	4	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|917663895|ref|WP_052218422.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_ferriacetica]	67.5	1.00E-10
Otu1021	6	4	1	0	0	0	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	gi|922783681|ref|WP_053381383.1|_hypothetical_protein_[Nitrospira_moscoviensis]	78.3	7.20E-16
Otu1022	9	1	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|751570639|ref|WP_041039517.1|_arsenite_S-adenosylmethyltransferase_[Magnetospirillum_magnetotacticum]	69.2	3.60E-11
Otu1023	29	62	37	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|502959247|ref|WP_013194223.1|_arsenite_S-adenosylmethyltransferase_[Methanohalobium_evestigatum]	66.7	2.00E-09
Otu1024	1	1	10	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	84.6	5.30E-15
Otu1025	6	6	4	0	0	0	0	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	gi|503095917|ref|WP_013330730.1|_arsenite_S-adenosylmethyltransferase_[Methanolacinia_petrolearia]	60	2.00E-09
Otu1026	32	21	14	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851359698|ref|WP_048196287.1|_hypothetical_protein_[Methanococcoides_methylutens]	62.5	1.00E-10
Otu1027	8	1	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|739373310|ref|WP_037234292.1|_arsenite_S-adenosylmethyltransferase_[Rhodomicrobium_udaipurense]	85	3.10E-15
Otu1028	9	0	2	0	0	0	0	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|501722131|ref|WP_012625546.1|_type_11_methyltransferase_[Desulfovibrio_desulfuricans]	75	1.20E-15
Otu1029	2	6	3	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	gi|640258314|ref|WP_024840951.1|_arsenite_S-adenosylmethyltransferase_[Cellulosimicrobium_cellulans]	77.5	1.40E-12
Otu103	231	317	148	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851271986|ref|WP_048142438.1|_MULTISPECIES:_arsenite_S-adenosylmethyltransferase_[Methanosarcina]	72.5	1.90E-12
Otu1030	9	11	6	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522208193|ref|WP_020715660.1|_hypothetical_protein_[Acidobacteriaceae__KBS_89]	90	8.20E-16
Otu1031	4	1	3	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851314766|ref|WP_048177906.1|_arsenite_S-adenosylmethyltransferase_[Methanosarcina_sp._MTP4]	77.5	8.50E-13
Otu1032	4	5	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916596420|ref|WP_051203511.1|_arsenite_S-adenosylmethyltransferase_[Flexibacter_roseolus]	62.5	1.50E-09
Otu1033	3	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Otu1034	22	1	3	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	gi|494299727|ref|WP_007170251.1|_MULTISPECIES:_arsenite_S-adenosylmethyltransferase_[Mycobacterium]	63.6	1.10E-10
Otu1035	96	72	57	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	76.9	1.40E-12
Otu1036	4	2	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|496825950|ref|WP_009375031.1|_methyltransferase_[Brevibacterium_casei]	77.5	1.00E-13
Otu1037	17	1	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|929006514|ref|WP_054030453.1|_arsenite_S-adenosylmethyltransferase_[Desulfatitalea_tepidiphila]	76.9	1.90E-12
Otu1038	15	4	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|500005407|ref|WP_011686125.1|_arsenite_S-adenosylmethyltransferase_[Candidatus_Solibacter_usitatus]	82.5	2.00E-14
